grapes,region,country,winery,rating
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Arrogant Frog,3.6
"[Baga,Castelao]",Alentejano,Portugal,Segredos de São Miguel,3.6
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Argiolas,3.9
[Verdejo],Rueda,Spanien,Vetus,3.8
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Les Jamelles,3.8
[Chardonnay],Costers del Segre,Spanien,Raimat,3.6
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Banfi,3.5
[Tempranillo],Ribera del Duero,Spanien,Cune (CVNE),3.5
"[Xarel-lo,Parellada,Trepat,Viura]",Penedès,Spanien,Freixenet,3.5
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Santadi,3.7
[Shiraz/Syrah],Western Cape,Sydafrika,Arabella,3.6
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Cellier des Dauphins,3.7
[Sauvignon Blanc],Western Cape,Sydafrika,Spier,3.6
[Mourvedre],Vino de España,Spanien,Trenza,4.1
"[Grenache,Tempranillo]",Manchuela,Spanien,Bodega Iniesta,3.3
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Cusumano,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Monica di Sardegna,Italien,Argiolas,3.7
"[Shiraz/Syrah,Grenache,Mourvedre]",Languedoc-Roussillon,Frankrig,Domaine de la Baume,3.7
[Grenache],Cannonau di Sardegna,Italien,Sella & Mosca,3.5
[Merlot],Western Cape,Sydafrika,Spier,3.4
[Moscato],Asti,Italien,Araldica,3.7
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cirò,Italien,Librandi,3.6
"[Shiraz/Syrah,Cabernet Sauvignon]",Sydøstlige Australien,Australien,Badgers Creek,3.3
[Cabernet Sauvignon],Coastal Region,Sydafrika,MAN,3.5
[Mencia],Bierzo,Spanien,Cuatro Pasos,3.5
"[Verdelho,Sercial,Malmsey,Boal Branco,Terrantez]",Madeira,Portugal,Barbeito,3.7
[Chardonnay],Valle de Casablanca,Chile,Veramonte,3.5
"[Baga,Castelao]",Alenquer,Portugal,Quinta das Setencostas,3.8
[Grenache],Almansa,Spanien,Bodegas Piqueras,3.7
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Baccolo,3.9
[Shiraz/Syrah],South Australia,Australien,McGuigan,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Zabu,3.9
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Donnafugata,3.5
[Chenin Blanc],Western Cape,Sydafrika,Boschendal,3.6
[Grüner Veltliner],Niederösterreich,Østrig,Weingut R&A Pfaffl,3.8
"[Grenache,Tempranillo]",Manchuela,Spanien,Bodegas Ponce,3.6
[Cabernet Sauvignon],Mendoza,Argentina,Alamos,3.6
[Riesling],Mosel,Tyskland,Abtei Himmerod,3.9
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Cusumano,3.5
[Merlot],Robertson,Sydafrika,Arabella,3.5
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Cusumano,3.5
[Cabernet Sauvignon],Lujan de Cuyo,Argentina,Bodega Norton,3.5
[Cabernet Sauvignon],Western Cape,Sydafrika,Spier,3.4
[Sauvignon Blanc],Constantia,Sydafrika,Buitenverwachting,3.7
"[Grenache,Tempranillo]",Navarra,Spanien,Inurrieta,3.7
[Primitivo],Puglia,Italien,Tank,4
[Pinot Noir],Santiago,Chile,Cono Sur,3.1
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Codorníu,3.4
[Pinotage],Stellenbosch,Sydafrika,Zonnebloem,3.6
[Sauvignon Blanc],Western Cape,Sydafrika,Spier,3.6
"[Grenache Blanc,Bourboulenc]",Languedoc-Roussillon,Frankrig,Domaine de la Baume,3.7
"[Grenache,Tempranillo]",Catalunya,Spanien,Familia Torres,3.5
"[Shiraz/Syrah,Grenache,Mourvedre]",Languedoc-Roussillon,Frankrig,Domaine de la Baume,3.7
"[Corvina,Rondinella,Corvinone]",Valpolicella,Italien,Tedeschi,3.6
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Bordeaux,Frankrig,Château Lamothe,3.5
"[Shiraz/Syrah,Cabernet Sauvignon]",Stellenbosch,Sydafrika,Boschendal,3.4
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Pinotage]",Western Cape,Sydafrika,Leopard’s Leap,3.4
"[Sangiovese,Montepulciano]",Terre di Chieti,Italien,Farnese,3.6
[Tempranillo],Ribera del Duero,Spanien,Condado de Oriza,3.5
[Viura],Rioja,Spanien,Bodegas Faustino,3.5
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Vina Herminia,3.6
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Viña Bujanda,3.6
[Riesling],Mosel,Tyskland,Abtei Himmerod,3.6
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Tancia - Azienda Agricola Silla,3.1
"[Shiraz/Syrah,Grenache,Mourvedre]",Languedoc-Roussillon,Frankrig,Domaine de la Baume,3.5
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Pinotage]",Western Cape,Sydafrika,Rib Shack,3.6
[Chenin Blanc],Coastal Region,Sydafrika,MAN,3.6
[Verdejo],Rueda,Spanien,Palacio de Bornos,3.6
"[Grenache,Tempranillo]",Somontano,Spanien,Viñas del Vero,3.4
[Riesling],Mosel,Tyskland,Abtei Himmerod,3.9
"[Palomino,Moscato,Pedro Ximenez]",Jerez-Xérès-Sherry,Spanien,Pedro Rodriguez e Hijos,3.5
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Carignano del Sulcis,Italien,Santadi,3.6
"[Grenache,Tempranillo]",Catalunya,Spanien,Bach,3.2
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Cellier des Dauphins,3.6
[Shiraz/Syrah],Stellenbosch,Sydafrika,False Bay,3.5
[Sauvignon Blanc],Valle de Casablanca,Chile,Veramonte,3.5
[Sauvignon Blanc],South Australia,Australien,Oxford Landing,3.3
